               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2049,              1.9938,              1.4661,             0.70721,             0.83486,             0.82697,             0.59399,             0.97594,             0.82142,              1.3487,            0.070121,           0.0033198,           0.0033198
                   1,              1.1212,              1.2133,              1.3686,             0.72896,             0.58878,             0.68449,             0.46002,              1.1108,              1.2672,              1.5539,            0.039792,           0.0063238,           0.0063238
                   2,              1.2059,              1.2861,              1.4154,             0.64337,             0.54104,             0.61833,             0.39899,              1.1607,              1.5631,              1.5737,           0.0091328,           0.0089978,           0.0089978
                   3,              1.2917,              1.4456,              1.4666,             0.67609,             0.69189,             0.70887,             0.47119,              1.1554,              1.5104,              1.5621,            0.008515,            0.008515,            0.008515
                   4,              1.3011,              1.4129,              1.4756,             0.71193,             0.71475,             0.77732,             0.51824,              1.1161,               1.188,              1.4915,            0.008515,            0.008515,            0.008515
                   5,              1.1982,              1.2283,               1.526,             0.57448,             0.45531,             0.50193,             0.31245,              1.4479,              1.9262,              1.8976,             0.00802,             0.00802,             0.00802
                   6,              1.1805,              1.1547,              1.5062,             0.84318,             0.72249,             0.80018,             0.53706,              1.1828,              1.0395,              1.5953,            0.007525,            0.007525,            0.007525
                   7,              1.1374,              1.0672,               1.482,              0.8248,             0.80746,             0.85165,             0.57688,              1.1066,             0.85944,              1.4983,             0.00703,             0.00703,             0.00703
                   8,              1.0972,             0.99282,              1.4408,             0.79745,              0.7583,             0.80597,             0.57575,              1.0092,              0.8923,              1.4282,            0.006535,            0.006535,            0.006535
                   9,              1.0486,             0.90456,              1.4035,             0.86419,             0.81866,             0.88889,             0.65117,              1.0154,             0.76272,              1.4198,             0.00604,             0.00604,             0.00604
                  10,             0.99789,             0.81002,              1.3485,             0.88237,             0.88302,             0.90596,              0.6612,             0.97191,             0.70819,              1.3211,            0.005545,            0.005545,            0.005545
                  11,             0.96574,             0.76226,              1.3121,             0.93182,             0.86018,             0.93081,             0.69128,             0.94412,             0.64175,              1.3425,             0.00505,             0.00505,             0.00505
                  12,             0.92828,             0.68856,              1.2827,             0.90829,             0.89213,             0.93126,             0.68931,             0.92923,             0.61035,              1.3382,            0.004555,            0.004555,            0.004555
                  13,             0.90416,             0.63099,              1.2807,             0.91189,             0.91505,              0.9467,               0.723,             0.90193,             0.52027,              1.2858,             0.00406,             0.00406,             0.00406
                  14,              0.8673,             0.58861,              1.2454,             0.94357,             0.90538,             0.94704,             0.72975,              0.8791,             0.52397,              1.2912,            0.003565,            0.003565,            0.003565
                  15,              0.8328,             0.55724,              1.2127,              0.9372,             0.93584,              0.9593,             0.75421,              0.8435,             0.46797,              1.2264,             0.00307,             0.00307,             0.00307
                  16,             0.81284,             0.51337,              1.1995,             0.94442,             0.91984,             0.95317,             0.74892,             0.86415,             0.46932,              1.2467,            0.002575,            0.002575,            0.002575
